code,name,gender,country_code,country,nationality_long,disciplines,events,birth_date,birth_country,hobbies,occupation,education,family,lang,coach
1532872,ALEKSANYAN Artur,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,Armenia,Playing and watching football,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Father, Gevorg Aleksanyan","Armenian, English, Russian","Gevorg Aleksanyan (ARM), father"
1532873,AMOYAN Malkhas,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,Armenia,,,,,Armenian,
1532874,GALSTYAN Slavik,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,,,,,,Armenian,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM)
1532944,HARUTYUNYAN Arsen,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,Armenia,,Athlete,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),"Wife, Diana (married October 2022). Daughter, Marias (born 2023)",Armenian,National: Habetnak Kurghinyan
1532945,TEVANYAN Vazgen,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,Armenia,,Athlete,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Wife, Sona (married November 2023)","Armenian, Russian",National: Habetnak Kurghinyan (ARM)
1532951,ARENAS Lorena,Female,COL,Colombia,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,Colombia,,Athlete,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)","Father, Jose Otoniel. Mother, Maria Rudy. Has three siblings",Spanish,Personal: Brent Vallance (AUS)
1533112,McKENZIE Ashley,Male,JAM,Jamaica,Jamaica,['Judo'],['Men -60 kg'],1989-07-17,Great Britain,Music,Athlete,,"One daughter, Lana-Rose, who lives in France",English,Personal and National: Luke Preston (GBR)
1533136,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,Gambia,,"Athlete, police officer (sub-inspector)",,"Husband, Mustapha Bittaye - physical education lecturer and football referee (married October 2023). One sister and two brothers","English, French",Personal: Christophe Belliard (FRA)
1533176,CAMARA Ebrahima,Male,GAM,Gambia,Gambia,['Athletics'],"[""Men's 100m""]",1996-09-18,Gambia,"Running, watching movies, football, chatting with friends","Athlete, prison officer",,Married. One daughter. Has three brothers,"Arabic, English, French, Mandinka, Wolof",Personal: Christophe Belliard (FRA)
1533188,RUEDA SANTOS Lizeth,Female,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",1994-03-07,Mexico,,Athlete,Studied Medicine at the University of Guadalajara (MEX),,Spanish,Personal: Eugenio Chimal (MEX)
1533189,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",1997-08-27,Mexico,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico",,"English, Spanish",Luis Miguel Chávez Rincón
1533190,GRAJALES Crisanto,Male,MEX,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",1987-05-06,Mexico,"Music, films",Athlete,Sport Studies - University of Veracuz (MEX),"Father, Crisanto Grajales Landa",Spanish,Personal: Eugenio Chimal (MEX)
1533208,MAAROUFOU Hachim,Male,COM,Comoros,Comoros,['Athletics'],"[""Men's 100m""]",1997-02-13,France,,Athlete,,,French,Personal: Franck Ne (FRA)
1533209,SAADI Maesha,Female,COM,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,France,,"Athlete, student",,"Fther, Abdou-Salam. Mother, Berangere Bardin",French,Personal: Marc-Olivier Froger
1533230,DIOSDADO Nuria,Female,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,Mexico,"Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)","Husband, Javier Arnaiz (married May 2022). Father, Gilberto. Mother, Carmen Montserrat Garcia. Sister, Palmira Montserrat Diosdado",Spanish,National: Adriana Loftus (MEX)
1533231,JIMENEZ Joana,Female,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,Mexico,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)","Brother, Jorge",Spanish,National: Adriana Loftus (MEX)
1533232,SOBRINO Jessica,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1994-05-26,Mexico,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)","Sister, Pamela",Spanish,National: Adriana Loftus (MEX)
1533234,ALFEREZ Regina,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1997-12-01,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",,Spanish,National: Adriana Loftus (MEX)
1533235,ARELLANO Fernanda,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2002-02-28,,,"Athlete, student","Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)","Partner, Iker Casas",Spanish,National: Adriana Loftus (MEX)
1533237,TOSCANO Pamela,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2000-01-13,,Choreography,"Athlete, sport soldier","Studied Business Administration at Anahuac University (Mexico City, MEX)",,Spanish,National: Adriana Loftus (MEX)
1533239,GONZALEZ Itzamary,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2003-11-14,,,Athlete,,,Spanish,National: Adriana Loftus (MEX)
1533240,RODRIGUEZ Samanta,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1994-12-05,,,Athlete,,,Spanish,National: Adriana Loftus (MEX)
1533243,INZUNZA Glenda,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2000-03-12,,,,,,,
1533245,SEHEN Sajjad,Male,IRQ,Iraq,Iraq,['Judo'],['Men -81 kg'],1996-03-08,Iraq,,,,,Arabic,
1533359,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,Iraq,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,,,Athlete,,,Arabic,
1533364,ISMAIL Mohamed,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",1997-01-01,Djibouti,,"Athlete, sport soldier",,Married. Two children. The third of 10 children,"French, Somali",Personal: Hussein Shibo (ETH)
1533371,HASSAN Ibrahim,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's Marathon""]",1997-01-01,,,"Athlete, soldier with the Djiboutian Republican Guard",,Married. One daughter,Somali,
1533372,WAISS Abdi,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",1996-07-03,Djibouti,,"Athlete, sport soldier",,"Wife, Nadine Nasri (2022)","French, Somali",Personal: Hussein Shibo (ETH)
1533374,HASSAN NOUR Samiyah,Female,DJI,Djibouti,Djibouti,['Athletics'],"[""Women's 5000m""]",1999-12-05,,,"Athlete, sport soldier",,,,Personal: Hussein Shibo (ETH)
1533378,HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,,,,,,"English, French",
1535180,BARAT Andy,Male,COM,Comoros,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,Comoros,,,,,French,Personal: Lukas Jacob
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,Mexico,['Boxing'],"[""Men's 63.5kg""]",2001-03-17,Mexico,,,,,Spanish,
1535187,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,Mexico,['Boxing'],"[""Men's 71kg""]",2002-02-11,Mexico,,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX)
1535191,GONZALEZ Alegna,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02,Mexico,,"Athlete, serves in the navy","Graduated in 2021 with a degree in Sports Science from Universidad La Salle, Mexico City (MEX). Plans to pursue a Master's degree in Political Science","Mother, Yadira. Grandmother, Angela",Spanish,"Personal: Ignacio Zamudio (MEX), 1996 Olympian"
1535195,LOPEZ Jesus Tonatiu,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's 800m""]",1997-08-02,Mexico,"Reading, listening to music, puzzles",Athlete,"Sport Studies at University of Sonora (Hermosillo, MEX)","Father, Ramon Enrique. Mother, Claudia. Three brothers",Spanish,Personal: Conrado Soto (MEX)
1535199,PORTILLO Erick,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",2000-10-05,Mexico,,Athlete,,"Father, Ramon. Mother, Janet. Has two brothers",Spanish,Personal: Lazaro Paz (CUB)
1535201,MUNOZ Uziel,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's Shot Put""]",1995-09-08,Mexico,,Athlete,Graduated with a Bachelor's degree in Business Administration from the Autonomous University of Ciudad Juarez (MEX),"Partner, Jazmin Jara. Son, Uziel. Brother Mateo (died in 2016)",Spanish,Personal: Alejandro Laberdesque (CUB)
1535202,del REAL Diego,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06,Mexico,,Athlete,"Nuevo Leon State Autonomous University (San Nicolas de los Garza, MEX)","Father, Eduardo. Has three siblings","English, Spanish",Personal: Alejandro Laberdesque (CUB)
1535203,DOCTOR Jose Luis,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14,Mexico,,Athlete,,,Spanish,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist"
1535212,MORAN Paola,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 400m""]",1997-02-25,Mexico,"Reading, watching television and walking her dog. Loves tacos",Athlete,"Graduated in 2022 with a Bachelor's degree in Nutrition and General Well-being from the Monterrey Institute of Technology and Higher Education (Guadalajara, MEX)",Has four siblings,Spanish,Personal: Luis Montes Leon (MEX)
1535214,GALVAN Laura,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",1991-10-05,Mexico,"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts",Athlete,"Graduated in 2016 with a Bachelor's degree in Food Science and Industry from Kansas State University, Manhattan, KS (USA)","Father, Ramon. Mother, Andrea. Six siblings","English, Spanish",Personal: Cecilio Blancarte (MEX)
1535216,CORTES Alma Delia,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",1997-12-26,Mexico,,Athlete,"Graduated with a Bachelor's degree in Criminology at Centro Universitario de  Cuautitlan, Cuautitlan (MEX)",,Spanish,Personal: Martin Nunez (MEX)
1535217,CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",1995-04-15,Mexico,,Athlete,Studies Marketing at University of Guadalajara (MEX),,Spanish,Personal: Cristobal Herrera (MEX)
1535222,PALMA OLIVARES Ever Jair,Male,MEX,Mexico,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18,Mexico,"Travelling, learning about foreign cultures.</p><p>Started learning French for nine months ahead of the 2024 Paris Olympic Games, but upon his arrival in Paris, realised that the language is more complicated than expected. ""It's not easy at all, but you try."" (esto.com.mx, 26 Jul 2024)","Athlete, entrepreneur",Business Administration - Universidad Anahuac Mexico North Campus (MEX),,Spanish,"Personal: Adrian Palma (MEX), his brother"
1535225,OETLING RAMIREZ Elena,Female,MEX,Mexico,Mexico,['Sailing'],"[""Women's Dinghy""]",1993-04-18,Mexico,Reading,"Athlete, business owner",Sport Studies at University of Guadalajara (MEX),,"English, German, Spanish","Tania Elías Calles (MEX), four-time Olympian. Noel Guerra"
1535226,AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,Mexico,['Sailing'],"[""Women's Windsurfing""]",1999-03-12,Mexico,,"Athlete, student",Monterrey Institute of Technology (MEX),"Father, Enrique. Mother, Marisa",Spanish,Personal: Marisa Chavez Peon
1535252,LECHUGA ALANIS Kenia,Female,MEX,Mexico,Mexico,['Rowing'],"[""Women's Single Sculls""]",1994-06-26,Mexico,,Armed Forces athlete,Studied Exercise Science at the Autonomous University of Nuevo Leon (MEX),,Spanish,
1535260,LOPEZ GARCIA Alexis,Male,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01,Mexico,,Athlete,,,Spanish,
1535267,CARBALLO NIETO Miguel,Male,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08,Mexico,,Athlete,,,Spanish,
1535310,BLANCO Luisa,Female,COL,Colombia,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18,United States,,"Athlete, student","Has a Bachelor's degree in Political Science, studying for a Master’s degree in Communication Studies at the University of Alabama in Tuscaloosa (AL, USA)","Father, Mario Blanco. Mother,  Sandra Saavedra. Brother, Dario Blanco",English,Personal: Ashley Johnson (USA).<br>National: Diego Medina
1535343,WILLARS VALDEZ Randal,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30,Mexico,,Armed forces athlete,,"Father, Gabriel Willars. Mother, Katya Valdez",Spanish,Shi Qingying (CHN)
1535345,BERLIN REYES Kevin,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2001-04-25,Mexico,"Electronics, football, supporting Spanish football club Barcelona",Athlete,,,Spanish,
1535346,OROZCO LOZA Alejandra,Female,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",1997-04-19,Mexico,"Watching movies, spending time with family, music",Armed forces athlete,,,Spanish,
1535348,AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",2000-08-04,Mexico,,Armed forces athlete,,,Spanish,
1535349,OLVERA IBARRA Osmar,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05,Mexico,,,,,,
1535350,GARZA PEREZ Eugenio,Male,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1996-07-23,Mexico,,Athlete,"Degree in Business from University of Miami (Coral Gables, FL, USA)","Father, David. Mother, Monica","English, Spanish",
1535351,FERNANDEZ Federico,Male,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1968-03-28,Mexico,Travelling,In 2004 he launched Grupo SIM which offers business services to small and medium-sized companies in Mexico,Master's degree in Senior Business Management from Universidad Panamericana in Mexico City (MEX),"Wife, Paola Amilibia. Children, Juan Pablo, Eduardo and Federica","English, Spanish",
1535354,de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,Mexico,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",1994-08-09,Mexico,,,Graduated in Bachelor of Commerce and International Business at Tecmilenio University (MEX) in 2018,,Spanish,"Club: Sergio Lopez (ESP), since January 2023"
1535356,MORENO Alexa,Female,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1994-08-08,Mexico,"Anime, karaoke",Athlete,Architecture at University of the Valley of Mexico (MEX),"Father, Octavio. Mother, Yenderina. Three brothers","English, Spanish",Personal: Aldo Torres (MEX)
1535357,SANDOVAL Ahtziri,Female,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1996-10-05,Mexico,,Athlete,,"Father, Antonio Sandoval. Mother, Liliana Perez. Brother, Kevin Sandoval. None have been involved in sports",Spanish,Personal: Jose Adrian Meza Padilla (MEX)
1535358,FLORES Sofia,Female,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-12-20,Mexico,,Athlete,,"Father, Reyes Flores Hurtado","English, Spanish",National: Blajaith Aguilar (MEX)
1535359,SALAZAR Kimberly,Female,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-04-24,Mexico,,Athlete,"Anahuac University (Mexico City, MEX)","Mother, Lisbeth Lopez",Spanish,National: Blajaith Aguilar (MEX)
1535360,TEJEDA Adirem,Female,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2002-06-21,,,Athlete,,,Spanish,National: Blajaith Aguilar (MEX)
1535361,ALCOCER Dalia,Female,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2004-01-02,Mexico,,Athlete,,,Spanish,National: Blajaith Aguilar (MEX)
1535362,GUTIERREZ Julia,Female,MEX,Mexico,Mexico,['Rhythmic Gymnastics'],['Group All-Around'],2007-09-13,Mexico,,Athlete,,,Spanish,National: Blajaith Aguilar (MEX)
1535363,HERNANDEZ Emiliano,Male,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",1998-01-27,Mexico,"Playing football, watching movies",,"Studied Marketing at the University of the Incarnate Word (San Antonio, TX, USA), while competing on the university fencing team 2016-17","Partner, Karol Gonzalez (triathlete). Father, Marcelo. Mother, Maria Celeste Uscanga. Brother, Ismael","English, Spanish",Swimming: Isaac Cortes (MEX).<br>Running: Juan Luis Barrios (MEX).<br>Riding: Gabriela Hernandez (MEX).<br>Shooting: Rosario Alvarez (MEX).<br>Sports psychologist: Claudia Rivas (MEX)
1535364,CARRILLO Duilio,Male,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Men's Individual""]",1997-03-24,Mexico,Folk dancing (he is member of the Mexican Folk Dance Company),Armed Forces athlete,"Studied Business Administration at Anahuac University (Mexico City, MEX)","Wife, Priscila Espinosa. Daughter, Gea (born 2022). He is the youngest of eight children",Spanish,
1535365,OLIVER Mayan,Female,MEX,Mexico,Mexico,['Modern Pentathlon'],"[""Women's Individual""]",1993-07-11,Mexico,,,,"Younger sister, Catherine",Spanish,Club: Isaac Cortes Garcia (MEX)
1535366,SANSORES Carlos,Male,MEX,Mexico,Mexico,['Taekwondo'],['Men +80kg'],1997-06-25,Mexico,,Athlete,"Studied at Anahuac University (Mexico City, MEX)",,Spanish,National: Alfonso Victoria (MEX)
1535367,SOUZA Daniela Paola,Female,MEX,Mexico,Mexico,['Taekwondo'],['Women -49kg'],1999-08-27,Mexico,,Military athlete,"Graduated in 2023 with a degree in Business Administration from Anáhuac University (Mexico City, MEX)",,Spanish,National: Abel Mendoza (MEX)
1535368,CLELAND QUINONEZ Alan,Male,MEX,Mexico,Mexico,['Surfing'],['Men'],2002-06-19,Mexico,,Athlete,,"Father, Alan Sr","England, Spanish",Guillermo ‘Macaco’ Mendez (MEX)
1535373,GRIGORIAN Aram,Male,UAE,UA Emirates,United Arab Emirates,['Judo'],['Men -90 kg'],1998-06-09,Russian Federation,Fishing and cinema,Athlete,,"Father, mother and two sisters",Russian,National: Victor Scvortov (MDA).</p><p>Victor Astakhov (RUS).<br>Dmitry Kletskov (RUS).<br>Rudolf Mikhailovich Baboyan (RUS).<br>Ervand Mgdsyan (RUS)
1535374,KOSTOEV Dzhafar,Male,UAE,UA Emirates,United Arab Emirates,['Judo'],['Men -100 kg'],1999-04-28,Russian Federation,,Athlete,,,"Arabic, Russian",National: Victor Scvortov (MDA)
1535375,MAGOMEDOMAROV Magomedomar,Male,UAE,UA Emirates,United Arab Emirates,['Judo'],['Men +100 kg'],2001-04-10,Russian Federation,,Athlete,,,Russian,National: Victor Scvortov (MDA)
1535376,TATALASHVILI Nugzari,Male,UAE,UA Emirates,United Arab Emirates,['Judo'],['Men -81 kg'],1990-03-20,Georgia,Sports cars,,,,"English, Georgian, Russian",Victor Scvortov (MDA)
1535383,BISHRELT Khorloodoi,Female,UAE,UA Emirates,United Arab Emirates,['Judo'],['Women -52 kg'],1998-05-29,Mongolia,"Riding horses and dancing. ""I dance very well but I'm shy."" (Athlete, 19 Apr 2024)",,,"Parents, Bishrelt. Mother, Tsedendolgor. Siblings, Khulegch and Hotulun",Mongolian,National: Victor Scvortov (UAE/MDA)<br>Personal: Khishigbat Erdenet-Od (MGL)
1535385,HOUSSEIN Alexandre,Male,DJI,Djibouti,Djibouti,['Judo'],['Men -73 kg'],1998-03-28,France,"Sports, history, travelling","Athlete, student","Graduated in 2021 at Grenoble Ecole de Management, Technology and Innovation, Paris (FRA).</p><p>Studied at CFA Universite et Sports, Paris (FRA)","Brother, Baril Tonneau","English, French, Spanish",Michel Lebrun (FRA)
1535395,AL SAYEGH Safia,Female,UAE,UA Emirates,United Arab Emirates,['Cycling Road'],"[""Women's Road Race""]",2001-09-23,,,"Athlete, student","Studying Graphic Design at American University (Dubai, UAE)",,"Arabic, English",
1535420,VALENCIA Alejandra,Female,MEX,Mexico,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1994-10-17,Mexico,"Playing the violin, listening to music, singing, drawing, surfing the internet, watching movies, reading","Athlete, sport soldier",Studied Graphic Design at the University of Sonora (MEX),"Father, Francisco Ramon Valencia Fontes. Mother, Elizabeth Trujillo Carranza. Younger sister, Margarita",Spanish,National/personal: Miguel Angel Flores (MEX)
1535429,RUIZ Angela,Female,MEX,Mexico,Mexico,['Archery'],"[""Women's Individual"", ""Women's Team""]",2006-07-28,,,"Athlete, student",,Two brothers,"English, Spanish","National: Miguel Angel Flores (MEX).<br>Personal: Miguel Barcenas (MEX), Eduardo Magana (MEX)"
1535430,GRANDE Matias,Male,MEX,Mexico,Mexico,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",2004-04-26,Mexico,,"Athlete, student",Studies Business Administration virtually through the Autonomous University of Coahuila (MEX),"Father, Nicolas",Spanish,National: David Alejandro Velez Sanchez (MEX)
1535433,PRIETO Marcela,Female,MEX,Mexico,Mexico,['Cycling Road'],"[""Women's Road Race""]",1992-03-11,Mexico,,Athlete,,,Spanish,
1535438,RAMIREZ RAMOS Edson Ismael,Male,MEX,Mexico,Mexico,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",2000-07-10,Mexico,,"Athlete, student",,,Spanish,Personal: Blas Ruiz (MEX)
1535439,RODRIGUEZ Gabriela,Female,MEX,Mexico,Mexico,['Shooting'],['Skeet Women'],1996-12-12,Mexico,"Working out, hiking",Athlete,"Studied Clinical Psychology at the Monterrey Institute of Technology and Higher Education (Monterrey, MEX). Now studying for a Master's in Psychotherapy","Father, Javier. Mother, Lucia Garza. Two siblings","English, Spanish","National: Ariel Mauricio Flores (MEX).<br>Personal: Pietro Genga (ITA), Javier Rodríguez (MEX) - her father"
1535440,ZAVALA VAZQUEZ Alejandra,Female,MEX,Mexico,Mexico,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",1984-06-16,Mexico,"Reading, music",Military athlete,,"Mother, Gloria Vazquez Gomez","English, Spanish",Personal: Tania Estrella Perez Ramos (CUB)
1535441,QUEZADA MARQUEZ Carlos,Male,MEX,Mexico,Mexico,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",1999-10-21,Mexico,Playing video games,"Athlete, student",Studies Physical Culture and Sport,"Father, Miguel Angel Quezada Romero. Mother, Leonor Marquez Flores. Sisters, Michel, Jessica, Sandra. Older brother, Miguel",Spanish,"National: Pedro Acosta, Marcos Pulator.<br>Personal: Ruben Alexey Galardy de la Rosa (MEX)"
1535442,PENAFLOR MOYSEN Aram Michell,Male,MEX,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",1999-03-11,Mexico,"Going to the cinema, watching series, listening to music, getting to know new places",Athlete,,,Spanish,National: Luis Miguel Chávez Rincón (MEX)
1535444,REINOSO Sofia,Female,MEX,Mexico,Mexico,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",1996-10-23,Mexico,"Creeking, cliff jumping",Athlete,,,"English, Spanish",
1535448,BRIONES FRAGOZA Beatriz,Female,MEX,Mexico,Mexico,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",1999-02-10,Mexico,,Athlete,,,Spanish,Elizabeth Orta (MEX)
1535449,ALANIS MORALES Karina,Female,MEX,Mexico,Mexico,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",1993-12-09,Mexico,,Athlete,Studied Sports Organisation at Autonomous University of Nuevo León (MEX),"Father, Javier. Mother, Luz Maria. Sisters, Lucy and Moni",Spanish,
1535505,LINARES Natalia,Female,COL,Colombia,Colombia,['Athletics'],"[""Women's Long Jump""]",2003-01-03,Colombia,Reading,"Athlete, student","Sports Professional Programme at Universidad del Magdalena, Santa Marta (COL)","Father, Eder. Mother, Yanelis. Has an older brother",Spanish,Personal: Martin Suarez (COL)
1535506,LONGA Ronal,Male,COL,Colombia,Colombia,['Athletics'],"[""Men's 100m""]",2004-06-30,Colombia,,Athlete,,"Father, Jose. Mother, Johana. Grandmother, Carmen (deceased). Has eight siblings",Spanish,Personal: Jorge Benitez (COL)
1535511,RUIZ HURTADO Flor Denis,Female,COL,Colombia,Colombia,['Athletics'],"[""Women's Javelin Throw""]",1991-01-29,Colombia,,Athlete,"Graduated in 2015 with a Criminal Justice degree from Universidad Metropolitana, San Juan (PUR)","Daughter, Genesis (born 2016). Mother, Gladis. Oldest of eight children",Spanish,"Personal: Ramon Breto (CUB), Luis Carlos Lucumi (COL)"
1535512,ORJUELA Angie,Female,COL,Colombia,Colombia,['Athletics'],"[""Women's Marathon""]",1989-05-09,Colombia,,Athlete,"Graduated with a Bachelor's degree in Spanish Language from the University of Tolima, Ibague (COL)","Daughter, Shalane (born 2013). Husband, Andres Camilo. Father, Jose. Mother, Matilde. Has two brothers",Spanish,Personal: Humberto Ramirez (COL)
1535513,RENTERIA RENTERIA Tatiana,Female,COL,Colombia,Colombia,['Wrestling'],"[""Women's Freestyle 76kg""]",2000-12-22,,,,,,Spanish,National: David Gutierrez (COL)
1535514,VALDES PANA Angie Paola,Female,COL,Colombia,Colombia,['Boxing'],"[""Women's 60kg""]",2000-07-14,Colombia,,,,"Father, Manuel Maria Valdes. Mother, Telemina Reyes (died in 2020). Brother, Isaac. Five sisters (Maria Fernanda, Patricia, Denis Paola, María Jose, Sandra)",Spanish,
1535522,ARBOLEDA MENDOZA Valeria,Female,COL,Colombia,Colombia,['Boxing'],"[""Women's 57kg""]",2002-04-13,Colombia,"Drawing, reading, shopping, spending time with family",Parks assistant,"Plans to go to university after Paris 2024 to study physical therapy, sports training or physical education","Father, Federico. Mother, Olga Lucia Mendoza. Four siblings, Ximena Gisela, Byron Julian, Yelena Estefi and Valentina (her twin, older by five minutes)",Spanish,
1535524,BOLANOS LOPEZ Victor,Male,COL,Colombia,Colombia,['Sailing'],"[""Men's Kite""]",1994-09-19,Colombia,Cycling,,Software Engineering at Universidad del Cauca (COL),,Spanish,Quentin Prevout (BEL)
1535609,ABDOLI Samyar,Male,IRI,IR Iran,Islamic Republic of Iran,['Swimming'],"[""Men's 100m Freestyle""]",2002-12-25,,,Athlete,,,,
