code,name,gender,country_code,country,nationality_long,disciplines,events,birth_date,birth_country,hobbies,occupation,education,family,lang,coach
1930141,HENRY Amandine,Female,FRA,France,France,['Football'],['Women'],1989-09-28,France,"Her Chihuahua dog, which she often takes with her in her handbag. Loves fashion",Athlete,,Partner Karim Kessaci (football coach in lower league in Lyon region). Younger sister,"English, French",National: Hervé Renard (FRA)
1930147,TOLETTI Sandie,Female,FRA,France,France,['Football'],['Women'],1995-07-13,France,,Athlete,,,"French, Spanish",National: Hervé Renard (FRA)
1930151,BALTIMORE Sandy,Female,FRA,France,France,['Football'],['Women'],2000-02-19,France,,Athlete,,Younger brother. Younger sister,French,Club: Jocelyn Prêcheur (FRA)/Sonia Bompastor (FRA).<br>National: Hervé Renard (FRA)
1930152,BECHO Vicki,Female,FRA,France,France,['Football'],['Women'],2003-10-03,France,,Athlete,,,French,National: Hervé Renard (FRA)
1930155,CASCARINO Delphine,Female,FRA,France,France,['Football'],['Women'],1997-02-05,France,,Athlete,,"Father, Laurent Cascarino (writer). Mother, Aline (officer). Elder brother, Aurélien. Elder sister, Laetitia. Twin sister, Estelle Cascarino",French,National: Hervé Renard (FRA)
1930156,DIANI Kadidiatou,Female,FRA,France,France,['Football'],['Women'],1995-04-01,France,,Athlete,,,French,Club: Sonia Bompastor (FRA).<br>National: Herve Renard (FRA)
1930160,KATOTO Marie-Antoinette,Female,FRA,France,France,['Football'],['Women'],1998-11-01,France,,Athlete,,,French,Club: Jocelyn Precheur (FRA) until June 2024/Fabrice Abriel (FRA) from July 2024.<br>National: Herve Renard (FRA)
1930161,le SOMMER Eugenie,Female,FRA,France,France,['Football'],['Women'],1989-05-18,France,,Athlete,"After obtaining the Baccalaureate at the Lycée Bréquigny in Rennes, she obtained a sports instructor's diploma and pursued training as a local manager","Husband, Florian Dariel (technical event manager for Olympique Lyonnais, married in 2020 after 13 years of dating).<br>Father, Thierry Le Sommer (police officer). Mother, Claudine. One of seven children, five girls and two boys",French,National: Hervé Renard (FRA)
1930214,NIKOLAOU Konstantia,Female,CYP,Cyprus,Cyprus,['Shooting'],['Skeet Women'],1984-04-19,Greece,"Photography, reading, writing, cooking, theatre, music, dancing, gardening, spending time with children and animals",Athlete,Sports Science and Physical Education at European University (CYP),,"English, Greek",Personal: Michalis Katzianis (CYP)
1930226,CARDOZO REY Alisson Camila,Female,COL,Colombia,Colombia,['Wrestling'],"[""Women's Freestyle 50kg""]",1998-05-15,Colombia,,Athlete,,,Spanish,
1930231,CUERO MUNOZ Jair Alexis,Male,COL,Colombia,Colombia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1993-04-02,Colombia,,Athlete,,"Father, Carlos Segundo. Mother, Luz Estrela. Brother, Uber. Sister, Aide. Sister, Elsy Katherine",Spanish,
1930234,LISSE Jalen,Male,SUR,Suriname,Suriname,['Athletics'],"[""Men's 100m""]",2000-07-19,Suriname,,Athlete,,,Dutch,
1930235,ALVAREZ Julian,Male,ARG,Argentina,Argentina,['Football'],['Men'],2000-01-31,,,Athlete,,"Father, Gustavo Alvarez (truck driver). Mother, works as a kindergarten teacher. Two brothers","English, Spanish",Club: Pep Guardiola (ESP).<br>National: Javier Mascherano (ARG)
1930237,AMIONE Bruno,Male,ARG,Argentina,Argentina,['Football'],['Men'],2002-01-03,Argentina,,Athlete,,,"Italian, Spanish",Club: Ignacio Ambriz (MEX).<br>National: Javier Mascherano (ARG)
1930239,MUNOZ JARAMILLO Carlos Andres,Male,COL,Colombia,Colombia,['Wrestling'],"[""Men's Greco-Roman 87kg""]",1992-08-03,Colombia,,Athlete/coach,,,Spanish,
1930249,BELTRAN Lucas,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-03-29,Argentina,,Athlete,,,"Italian, Spanish",Club: Raffaele Palladino (ITA).<br>National: Javier Mascherano (ARG)
